#timestamp tx ty tz qx qy qz qw
1729604430.004728317 -1.317716360 -0.553413272 1.111179709 0.006154642 -0.990690053 -0.120755382 0.062558137
1729604430.537725449 -1.326907873 -0.535268068 1.119390965 0.011603281 -0.987159848 -0.135246575 0.084197044
1729604431.072548151 -1.366458535 -0.520213246 1.103757381 0.005486431 -0.982467592 -0.154389217 0.104361854
1729604431.607743025 -1.410684109 -0.534844995 0.998568892 0.019123975 -0.985123217 -0.147775322 0.085609369
1729604432.107486486 -1.448304057 -0.521506369 0.864396155 0.051108304 -0.986802161 -0.149666980 0.034775227
1729604432.607154846 -1.503957391 -0.505852401 0.832807660 0.012041098 -0.983955085 -0.174384490 0.035742488
1729604433.273477316 -1.587933421 -0.521456540 0.695128560 0.001631404 -0.986216664 -0.156970397 0.052291848
1729604433.773785353 -1.659261942 -0.506768525 0.541285813 0.026334099 -0.985077202 -0.168056741 0.026198467
1729604434.275479794 -1.693718910 -0.518559456 0.465517104 0.007084185 -0.985701501 -0.166690633 0.023592800
1729604434.776621342 -1.697197676 -0.515986085 0.382834136 0.011201574 -0.985387504 -0.166980445 0.031680100
1729604435.209721327 -1.689247370 -0.514407158 0.234054133 0.006348561 -0.982888758 -0.180569530 0.035834573
1729604435.676095009 -1.696681380 -0.492516279 0.103443131 -0.005992270 -0.978094816 -0.199931875 0.057635885
1729604436.109207630 -1.740900040 -0.465590507 -0.059772268 -0.023304751 -0.975007713 -0.213409871 0.057211112
1729604436.542263031 -1.795805454 -0.454672307 -0.250351191 -0.008058103 -0.973008990 -0.225752652 0.047162507
1729604436.975986242 -1.776339531 -0.440636575 -0.374996543 -0.001121009 -0.971101880 -0.232911140 0.052079588
1729604437.376502037 -1.753275275 -0.437383413 -0.449282944 -0.007476104 -0.968739808 -0.240624905 0.059891794
1729604437.910131216 -1.746107459 -0.450327069 -0.493799388 -0.011378521 -0.971230626 -0.229672700 0.061903484
1729604438.309938908 -1.776505113 -0.449829936 -0.514306724 0.005036166 -0.972815692 -0.230045885 0.026138166
1729604438.709709167 -1.815532565 -0.449124932 -0.531641006 -0.017089903 0.972627223 0.231229439 0.015400591
1729604439.242694616 -1.861350179 -0.447278798 -0.541578650 -0.021553600 0.971764922 0.231806070 0.038396880
1729604439.842247009 -1.870098352 -0.444542974 -0.527042210 -0.044275191 0.970835745 0.229137838 0.054895993
1729604441.175330877 -1.725156903 -0.448786765 -0.320533872 -0.000218592 -0.961214423 -0.272044033 0.045375329
1729604441.609014511 -1.668971419 -0.430845886 -0.247477680 0.008680878 -0.956533492 -0.288179696 0.043828111
1729604441.675737143 -1.666441202 -0.429943085 -0.239779741 0.009840298 -0.956076145 -0.290573329 0.037266117
1729604441.975629091 -1.662685275 -0.423434377 -0.222468704 0.010050968 -0.955641985 -0.290947080 0.044689793
1729604442.008948803 -1.662431479 -0.425146371 -0.221632838 0.010116192 -0.956171930 -0.288865179 0.046795581
1729604442.175543070 -1.657683849 -0.431361973 -0.219927669 0.006844524 -0.959447265 -0.277886987 0.046829060
1729604442.975574017 -1.617694259 -0.494672835 -0.238942668 -0.038929652 0.975819349 0.206689462 0.059502196
1729604443.742996693 -1.694119811 -0.535943031 -0.262237549 -0.041179657 0.967359424 0.163304880 0.189344972
1729604444.442862034 -1.639060378 -0.579903960 -0.351241469 -0.017390953 0.963995159 0.120857723 0.236229554
1729604444.609480858 -1.601123095 -0.587468803 -0.394827902 -0.006983078 0.960977137 0.122424580 0.247964725
1729604445.010632992 -1.493846416 -0.600110769 -0.467164993 0.000199830 0.961238742 0.124404937 0.246055782
1729604445.479074955 -1.415644646 -0.607864976 -0.559667289 -0.019483656 0.941855609 0.145073295 0.302460194
1729604445.679880857 -1.383228779 -0.622871041 -0.591490924 -0.036161721 0.935280025 0.144211248 0.321164757
1729604446.179800987 -1.337668777 -0.659657836 -0.667254448 -0.076626316 0.904307485 0.139747694 0.396013856
1729604446.513050556 -1.330968857 -0.674957633 -0.690793872 -0.080204695 0.901154399 0.115822516 0.409967184
1729604447.080136538 -1.314842582 -0.683950782 -0.692273855 -0.073962934 0.896227539 0.093180902 0.427344143
1729604447.847987652 -1.334938288 -0.704763055 -0.672457337 -0.055893254 0.917789280 0.064935900 0.387713999
1729604448.650012493 -1.355323911 -0.664075375 -0.499025583 -0.034915153 0.920899749 0.100474015 0.375006020
1729604448.983393192 -1.370447636 -0.641524673 -0.400715232 -0.041828874 0.925695240 0.095352188 0.363657475
1729604449.416635275 -1.399022698 -0.634713769 -0.325530291 -0.042598806 0.916013420 0.091085225 0.388340563
1729604449.817017555 -1.478781819 -0.636472344 -0.315297484 -0.030592348 0.918311894 0.073988803 0.387676448
1729604450.251925707 -1.483106613 -0.620837271 -0.267342091 -0.054422021 0.910600901 0.057224654 0.405671835
1729604450.853613377 -1.461284518 -0.634371996 -0.139252663 -0.034163132 0.903655529 0.047918789 0.424197346
1729604451.520142317 -1.436341166 -0.615252256 0.027741075 -0.023917314 0.895986021 0.051542927 0.440431982
1729604452.820003271 -1.370411634 -0.601516187 0.148512363 -0.014068686 0.928759933 0.052037742 0.366741210
1729604453.520630836 -1.380185366 -0.587697327 0.296518564 -0.029937867 0.926737428 0.084926635 0.364758790
1729604454.187472582 -1.335597038 -0.580419481 0.319873571 -0.048973422 0.909541488 0.094261631 0.401809156
1729604454.587453365 -1.307404280 -0.582997739 0.364651918 -0.049022403 0.910940647 0.087541372 0.400150597
1729604454.854462624 -1.284559727 -0.591606379 0.431262612 -0.052771091 0.906727552 0.089831650 0.408644825
1729604455.021540880 -1.294847012 -0.604819059 0.477829099 -0.053644828 0.905039072 0.090941183 0.412014842
1729604455.489400864 -1.271560669 -0.627686381 0.603149176 -0.064146653 0.894796312 0.066351987 0.436832011
1729604455.790007353 -1.271806002 -0.645522356 0.619075179 -0.065110654 0.877971113 0.041449554 0.472450256
1729604456.223239422 -1.263096571 -0.655566931 0.602782607 -0.080332279 0.867355525 0.045642104 0.489037782
1729604456.623106718 -1.232955456 -0.664242506 0.673228979 -0.061238945 0.882124901 0.049681187 0.464367539
1729604456.923485756 -1.190494776 -0.658062220 0.768105268 -0.050787028 0.892140031 0.053205874 0.445730865
1729604457.491376400 -1.135365486 -0.690102339 0.841223478 -0.047882427 0.872331798 0.064076431 0.482326388
1729604458.125060797 -1.114356041 -0.710333228 0.856468916 -0.044698484 0.881727636 0.069785953 0.464422703
1729604458.724719763 -0.988858938 -0.709802270 1.048975348 -0.032413945 0.901999056 0.065253243 0.425545692
1729604459.257813454 -0.882033050 -0.738226295 1.187960267 -0.054920129 0.883929431 0.058793329 0.460647255
1729604459.457702398 -0.844124019 -0.766450882 1.203161597 -0.060643420 0.880888999 0.059946667 0.465578496
